Price,Color,Type,Suitable For,MS Office Provided,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Cache,Graphic Processor,Number of Cores,Operating System,Touchscreen,Screen Size,Screen Resolution,Screen Type,Wireless LAN,Bluetooth,Weight,Keyboard Backlight,Warranty Summary,Web Camera,Brightness,Refresh Rate,HDD Capacity,Brand
90739.6,Titanium,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i7,1024.0,16.0,LPDDR5,12700H,4.7,24.0,Intel Integrated Iris Xe,12.0,Windows 11 Home,Yes,35.56,5184000.0,TN,6.0,5.2,1.4,Non-Backlit,1 Year Onsite Warranty,864000,550.0,90.0,0.0,asus
50407.9,Indie Black,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,16.0,DDR4,12500H,4.5,18.0,Intel Integrated Iris Xe Graphics,8.0,Windows 11 Home,No,35.56,5184000.0,TN,6.0,5.2,1.5,Non-Backlit,1 Year Onsite Warranty,864000,250.0,60.0,0.0,asus
70573.75,Ponder Blue,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i7,512.0,16.0,LPDDR5,1260P,4.7,18.0,Intel Integrated Iris Xe,12.0,Windows 11 Home,No,35.56,5184000.0,TN,6.0,5.2,1.39,Non-Backlit,1 Year Onsite Warranty,864000,400.0,90.0,0.0,asus
63851.8,Neutral Grey,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i7,512.0,16.0,DDR4,12700H,4.7,24.0,Intel Integrated Iris Xe Graphics,8.0,Windows 11 Home,No,35.56,5184000.0,TN,6.0,5.2,1.5,Non-Backlit,1 Year Onsite Warranty,864000,250.0,90.0,0.0,asus
77295.7,Titanium,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,16.0,LPDDR5,12500H,4.5,18.0,Intel Integrated Iris Xe,12.0,Windows 11 Home,Yes,35.56,5184000.0,TN,6.0,5.2,1.4,Non-Backlit,1 Year Onsite Warranty,864000,550.0,90.0,0.0,asus
28897.66,Dune,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,AMD,Ryzen 5 Quad Core,256.0,8.0,DDR4,3450U,3.5,6.0,AMD Radeon,4.0,Windows 11 Home,No,35.56,2073600.0,IPS,5.0,4.1,1.59,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,dell
40997.17,Indie Black,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,16.0,DDR4,1135G7,4.2,8.0,Intel Integrated Iris Xe,4.0,Windows 11 Home,No,35.56,2073600.0,IPS,6.0,5.0,1.4,Non-Backlit,1 Year Onsite Warranty,864000,250.0,60.0,0.0,asus
32258.64,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i5,512.0,8.0,DDR4,1035G1,3.6,6.0,Intel Integrated UHD,4.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,250.0,60.0,0.0,asus
93428.38,Obsidian Black,Gaming Laptop,Gaming,Yes,6.0,Intel,Core i7,1024.0,16.0,DDR5,12700H,4.7,24.0,NVIDIA GeForce RTX 3060,14.0,Windows 11 Home,No,39.62,3686400.0,WVA,6.0,5.2,2.57,4-Zone RGB,1 Year Premium Support,864000,400.0,240.0,0.0,dell
59146.44,Dark Shadow Grey,Gaming Laptop,Gaming,Yes,4.0,Intel,Core i5,512.0,16.0,DDR5,12500H,4.5,18.0,NVIDIA GeForce RTX 3050,12.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.1,2.57,4-Zone RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
86034.23,Dark Shadow Grey,Gaming Laptop,Gaming,Yes,6.0,Intel,Core i7,512.0,16.0,DDR5,12700H,4.7,24.0,NVIDIA GeForce RTX 3060,14.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.1,2.57,4-Zone RGB,1 Year Premium Support,864000,300.0,165.0,0.0,dell
24864.49,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i3,256.0,8.0,DDR4,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 10 Home,No,39.62,1049088.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,200.0,60.0,0.0,asus
50071.8,Dark Shadow Grey,Gaming Laptop,Gaming,Yes,4.0,Intel,Core i5,512.0,16.0,DDR4,11260H,4.4,12.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.0,2.65,RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
78976.19,Obsidian Black,Gaming Laptop,Gaming,Yes,4.0,Intel,Core i7,1024.0,16.0,DDR5,12700H,4.7,24.0,NVIDIA GeForce RTX 3050 Ti,14.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.2,2.57,4-Zone RGB,1 Year Premium Support,864000,300.0,165.0,0.0,dell
70573.75,Dark Shadow Grey,Gaming Laptop,Gaming,Yes,4.0,Intel,Core i7,512.0,16.0,DDR5,12700H,4.7,24.0,NVIDIA GeForce RTX 3050 Ti,14.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.1,2.57,4-Zone RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
46710.83,Dark Shadow Grey,Gaming Laptop,Gaming,Yes,4.0,Intel,Core i5,512.0,8.0,DDR4,11260H,4.4,12.0,NVIDIA GeForce RTX 3050,8.0,Windows 11 Home,No,39.62,2073600.0,WVA,6.0,5.0,2.65,RGB,1 Year Premium Support,864000,250.0,120.0,0.0,dell
33603.03,Pure Silver,Thin and Light Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",Yes,0.0,Intel,Core i5,512.0,8.0,DDR4,1135G7,4.2,8.0,Intel Integrated Iris Xe,4.0,Windows 11 Home,No,39.62,2073600.0,TN,6.0,5.1,1.65,RGB,1 Year International Travelers Warranty (ITW),864000,250.0,60.0,0.0,acer
34275.22,Indie Black,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,Intel,Core i3,256.0,8.0,DDR4,1115G4,4.1,6.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,2073600.0,TN,6.0,5.0,1.8,Non-Backlit,1 Year Onsite Warranty,864000,600.0,60.0,1024.0,asus
20831.32,Transparent Silver,Thin and Light Laptop,Processing & Multitasking,No,0.0,Intel,Core i3,0.0,8.0,DDR4,1005G1,3.4,4.0,Intel Integrated UHD,2.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,4.1,1.8,RGB,1 Year Onsite Warranty,307200,250.0,60.0,1024.0,asus
43685.95,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,2.0,Intel,Core i5,512.0,8.0,DDR4,1135G7,4.2,8.0,NVIDIA GeForce MX450,4.0,Windows 11 Home,No,39.62,2073600.0,IPS,5.0,5.0,1.75,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,hp
48397.37,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,AMD,Ryzen 7 Octa Core,512.0,16.0,DDR4,5825U,4.5,16.0,AMD Radeon,8.0,Windows 11 Home,No,35.56,2073600.0,IPS,6.0,5.2,1.41,RGB,1 Year Onsite Warranty,864000,400.0,60.0,0.0,hp
42281.06,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,0.0,AMD,Ryzen 5 Hexa Core,512.0,16.0,DDR4,5625U,4.3,16.0,AMD Radeon,6.0,Windows 11 Home,No,35.56,2073600.0,IPS,6.0,5.2,1.41,RGB,1 Year Onsite Warranty,864000,400.0,60.0,0.0,hp
16798.15,Black,Notebook,"Everyday Use, Performance, Processing & Multitasking, Travel & Business",No,0.0,Intel,Celeron Dual Core,256.0,4.0,DDR4,N4020,2.8,8.0,Intel Integrated UHD,2.0,Windows 11 Home,No,29.46,1049088.0,TN,5.0,5.0,1.4,RGB,1 Year Onsite Warranty,864000,250.0,60.0,0.0,acer
