Aspect Ratio,Circularity,Convexity,Solidity,Rectangularity,Herbal
0.409638554,0.465060142,1.019313305,0.972853315,1.351856287,Tsaang-Gubat
0.421686747,0.466006971,1.014957265,0.969412583,1.388789291,Tsaang-Gubat
0.479768786,0.39673308,1.070866142,0.948720552,1.536872525,Tsaang-Gubat
0.347150259,0.405194086,0.998062016,0.966546112,1.512043966,Tsaang-Gubat
0.5,0.472913254,1.010638298,0.966203914,1.470027088,Tsaang-Gubat
0.43373494,0.455215407,1.023206751,0.970169646,1.402652271,Tsaang-Gubat
0.344129555,0.393088954,1.016666667,0.965384879,1.490698665,Tsaang-Gubat
0.389140271,0.389324324,1.049180328,0.962019559,1.497714736,Tsaang-Gubat
0.453703704,0.403993237,1.054313099,0.948138118,1.511568123,Tsaang-Gubat
0.41954023,0.43054898,1.008130081,0.957732076,1.506940325,Tsaang-Gubat
0.401098901,0.439557247,1.007905138,0.971593336,1.46032095,Tsaang-Gubat
0.367647059,0.414205437,1.003597122,0.958621334,1.490792166,Tsaang-Gubat
0.39893617,0.401998599,1.011450382,0.944205107,1.569107501,Tsaang-Gubat
0.378600823,0.355364497,1.100600601,0.969005102,1.471370278,Tsaang-Gubat
0.47311828,0.391914126,1.11002445,0.976529566,1.432271614,Niyog-Niyogan
0.481967213,0.452882515,1.0654102,0.977818908,1.347084097,Niyog-Niyogan
0.489361702,0.495000646,1.015550239,0.985081359,1.370619519,Niyog-Niyogan
0.475949367,0.451388424,1.029234738,0.982325883,1.442866303,Niyog-Niyogan
0.488135593,0.496449172,1.039954338,0.986490552,1.295635465,Niyog-Niyogan
0.44279661,0.428207139,1.087628866,0.967866675,1.32703768,Niyog-Niyogan
0.460352423,0.438939561,1.027987897,0.979770059,1.470849933,Niyog-Niyogan
0.427272727,0.433883625,1.051020408,0.973668089,1.378328517,Niyog-Niyogan
0.45752608,0.460312766,1.025076766,0.973335629,1.401702481,Niyog-Niyogan
0.456400742,0.460731124,1.042784163,0.985723936,1.356169007,Niyog-Niyogan
0.453400504,0.431672467,1.0390625,0.971977566,1.45187834,Niyog-Niyogan
0.488095238,0.46653801,1.04494382,0.986565924,1.368056438,Niyog-Niyogan
0.472118959,0.462959402,1.042983565,0.98369981,1.362432702,Niyog-Niyogan
0.503685504,0.471553195,1.047540984,0.972223985,1.361337271,Niyog-Niyogan
0.433408578,0.438399117,1.029968454,0.964705501,1.42941651,Niyog-Niyogan
0.376569038,0.361476011,1.075342466,0.943798067,1.498119515,Niyog-Niyogan
